tempo, paciente ângulo, desejado ângulo, Acertos, Pontuação
8.459,179.285991,0,-,0,
8.459,179.285991,0,-,0,
8.459,179.285991,0,-,0,
8.59,179.840766,0,-,0,
8.59,179.840766,0,-,0,
8.79,180.000005,0,-,0,
8.79,180.000005,0,-,0,
8.99,179.61261,0,-,0,
8.99,179.61261,0,-,0,
9.19,179.813049,0,-,0,
9.19,179.813049,0,-,0,
9.39,179.58936,0,-,0,
9.39,179.58936,0,-,0,
9.59,179.630423,0,-,0,
9.59,179.630423,0,-,0,
9.79,179.570427,0,-,0,
9.79,179.570427,0,-,0,
9.99,179.601491,0,-,0,
9.99,179.601491,0,-,0,
10.19,179.507111,0,-,0,
10.19,179.507111,0,-,0,
10.39,179.584374,0,-,0,
10.39,179.584374,0,-,0,
10.59,179.621776,0,-,0,
10.59,179.621776,0,-,0,
10.791,179.348132,0,-,0,
10.791,179.348132,0,-,0,
10.991,179.520116,0,-,0,
10.991,179.520116,0,-,0,
11.191,179.452811,0,-,0,
11.191,179.452811,0,-,0,
11.393,179.452675,0,-,0,
11.393,179.452675,0,-,0,
11.591,179.500158,0,-,0,
11.591,179.500158,0,-,0,
11.792,179.588718,0,-,0,
11.792,179.588718,0,-,0,
11.991,179.443317,0,-,0,
11.991,179.443317,0,Erro,0,
11.991,179.443317,0,-,0,
12.191,179.492344,0,-,0,
12.191,179.492344,0,-,0,
12.394,179.553912,72,-,0,
12.394,179.553912,72,-,0,
12.592,179.572982,115.2,-,0,
12.592,179.572982,115.2,-,0,
12.792,179.586014,141.12,-,0,
12.792,179.586014,141.12,-,0,
12.992,179.593185,156.672,-,0,
12.992,179.593185,156.672,-,0,
13.191,179.718314,166.0032,-,0,
13.191,179.718314,166.0032,-,0,
13.391,179.615274,171.60192,-,0,
13.391,179.615274,171.60192,-,0,
13.591,179.600931,174.961152,-,0,
13.591,179.600931,174.961152,-,0,
13.791,179.540456,176.976691,Acerto,10,
13.791,179.540456,176.976691,-,10,
13.791,179.540456,176.976691,-,10,
13.991,179.518941,176.976691,-,10,
13.991,179.518941,176.976691,-,10,
14.191,179.577544,176.976691,-,10,
14.191,179.577544,176.976691,-,10,
14.391,179.5654,142.186015,-,10,
14.391,179.5654,142.186015,-,10,
14.591,179.569648,121.311609,-,10,
14.591,179.569648,121.311609,-,10,
14.791,179.373581,108.786965,-,10,
14.791,179.373581,108.786965,-,10,
14.991,179.208851,101.272179,-,10,
14.991,179.208851,101.272179,-,10,
15.191,179.510335,96.763308,-,10,
15.191,179.510335,96.763308,-,10,
15.391,179.525198,94.057985,-,10,
15.391,179.525198,94.057985,-,10,
15.591,179.448891,92.434791,-,10,
15.591,179.448891,92.434791,-,10,
15.791,179.606846,91.460874,-,10,
15.791,179.606846,91.460874,-,10,
15.991,179.600193,90.876525,-,10,
15.991,179.600193,90.876525,-,10,
15.991,179.600193,90.876525,Erro,10,
16.191,179.670325,90.876525,-,10,
16.191,179.670325,90.876525,-,10,
16.391,179.53853,126.525915,-,10,
16.391,179.53853,126.525915,-,10,
16.591,179.59716,147.915549,-,10,
16.591,179.59716,147.915549,-,10,
16.791,179.589155,160.749329,-,10,
16.791,179.589155,160.749329,-,10,
16.991,179.605247,168.449598,-,10,
16.991,179.605247,168.449598,-,10,
17.191,179.717153,173.069759,-,10,
17.191,179.717153,173.069759,-,10,
17.391,179.475528,175.841855,-,10,
17.391,179.475528,175.841855,-,10,
17.591,179.560838,177.505113,-,10,
